SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
三義,苗栗縣,39,,良好,1.7,0.14,40.8,41,36,14,1.6,2.4,0.9,3.8,27,2020-10-24 02:00,,0.1,12,33,2,120.758833,24.382942,27
古亭,臺北市,62,懸浮微粒,普通,1.1,0.23,55.7,39,83,22,3.9,4.6,0.7,2.2,75,2020-10-24 02:00,,0.3,19,70,1,121.529556,25.020608,14
松山,臺北市,69,細懸浮微粒,普通,2.4,0.19,52.4,33,85,25,4.7,5,0.3,1.5,47,2020-10-24 02:00,,0.4,23,73,1,121.578611,25.05,15
大同,臺北市,69,細懸浮微粒,普通,0.5,0.42,-,-,85,27,13.1,17.4,4.2,-,-,2020-10-24 02:00,,0.5,23,77,3,121.513311,25.0632,16
桃園,桃園市,65,細懸浮微粒,普通,3.9,0.29,43.1,29,89,24,7.5,8.9,1.4,4,72,2020-10-24 02:00,,0.4,21,74,4,121.30872222,24.98677778,17
大園,桃園市,67,懸浮微粒,普通,1.8,0.24,58.5,52,85,22,5.7,7,1.3,7.2,60,2020-10-24 02:00,,0.2,20,78,3,121.201811,25.060344,18
觀音,桃園市,86,細懸浮微粒,普通,2.3,0.26,51.1,49,85,37,9.8,10.9,1.2,7.9,74,2020-10-24 02:00,,0.2,30,82,4,121.082761,25.035503,19
平鎮,桃園市,64,細懸浮微粒,普通,2.1,0.25,50,32,86,28,,,,4.7,74,2020-10-24 02:00,,0.4,21,71,,121.203986,24.952786,20
龍潭,桃園市,56,細懸浮微粒,普通,1.4,0.16,50.2,47,62,22,0.7,1.5,0.7,7.3,61,2020-10-24 02:00,,0.2,18,57,2,121.21635,24.863869,21
湖口,新竹縣,59,懸浮微粒,普通,1.3,0.22,53.6,43,73,25,6.5,6.1,0,7.4,54,2020-10-24 02:00,,0.2,17,67,2,121.038653,24.900142,22
竹東,新竹縣,46,,良好,,0.14,50.1,48,57,14,1.2,1.5,0.3,6.9,38,2020-10-24 02:00,,0.1,13,50,,121.088903,24.740644,23
新竹,新竹市,58,細懸浮微粒,普通,,0.21,47.6,39,75,21,5.2,6.3,1.1,5.1,63,2020-10-24 02:00,,0.3,18,64,,120.972075,24.805619,24
頭份,苗栗縣,60,懸浮微粒,普通,1.3,0.18,45.9,43,70,21,4.1,4.9,0.8,4.1,58,2020-10-24 02:00,,0.1,18,68,2,120.898572,24.696969,25
苗栗,苗栗縣,53,懸浮微粒,普通,2,0.18,44.1,41,64,18,3.6,5.3,1.7,2.7,32,2020-10-24 02:00,,0.2,16,58,2,120.8202,24.565269,26
前金,高雄市,89,細懸浮微粒,普通,1.9,0.53,3.5,10,53,32,26.1,28,1.8,1.6,340,2020-10-24 02:00,,0.5,31,54,3,120.288086,22.632567,56
前鎮,高雄市,92,細懸浮微粒,普通,2.4,0.66,4.8,7,50,32,27.8,32,4.2,1.3,345,2020-10-24 02:00,,0.9,32,50,2,120.307564,22.605386,57
小港,高雄市,86,細懸浮微粒,普通,3.8,0.56,1.5,5,43,19,29,37.3,8.3,1.1,359,2020-10-24 02:00,,0.8,30,49,2,120.337736,22.565833,58
屏東,屏東縣,89,細懸浮微粒,普通,1.7,0.39,12.2,17,46,30,12.7,12.6,0,1.7,23,2020-10-24 02:00,,0.5,31,48,2,120.488033,22.673081,59
潮州,屏東縣,109,細懸浮微粒,對敏感族群不健康,1.5,0.46,7.5,15,62,37,13.8,14.2,0.3,1,4,2020-10-24 02:00,,0.6,39,62,3,120.561175,22.523108,60
恆春,屏東縣,46,,良好,1,0.1,47.8,50,12,10,0.9,3,2.2,13.8,44,2020-10-24 02:00,,0.1,10,14,1,120.788928,21.958069,61
臺東,臺東縣,35,,良好,1.7,0.18,39.5,38,18,7,1.1,1,0,1,343,2020-10-24 02:00,,0.3,10,18,1,121.15045,22.755358,62
花蓮,花蓮縣,38,,良好,1,0.15,39,39,30,10,3,3.5,0.5,2,308,2020-10-24 02:00,,0.2,12,39,1,121.599769,23.971306,63
陽明,臺北市,58,細懸浮微粒,普通,1.4,0.21,50.8,49,61,21,1.2,2,0.7,,,2020-10-24 02:00,,0.2,18,58,1,121.529583,25.182722,64
宜蘭,宜蘭縣,34,,良好,2.5,0.16,32.9,37,43,9,1.1,1.6,0.3,1.3,311,2020-10-24 02:00,,0.2,10,35,2,121.746394,24.747917,65
冬山,宜蘭縣,40,,良好,,0.14,29.3,34,49,16,3.5,4.9,1.4,1,276,2020-10-24 02:00,,0.2,12,42,2,121.792928,24.632203,66
三重,新北市,73,細懸浮微粒,普通,1.9,0.46,-,-,88,31,24.4,40.9,16.5,-,-,2020-10-24 02:00,,1.1,24,85,2,121.493806,25.072611,67
中壢,桃園市,66,細懸浮微粒,普通,2.3,0.3,46,26,80,22,8.7,11.4,2.7,1.3,320,2020-10-24 02:00,,0.8,21,68,3,121.221667,24.953278,68
士林,臺北市,63,細懸浮微粒,普通,1.1,0.21,60.1,51,91,27,3.8,3.8,0,2.8,51,2020-10-24 01:00,,0.2,20,72,2,121.515389,25.105417,11
中山,臺北市,69,細懸浮微粒,普通,1.7,0.36,52.9,30,99,31,9.6,11.9,2.3,2.5,118,2020-10-24 01:00,,0.6,23,78,2,121.526528,25.062361,12
萬華,臺北市,65,懸浮微粒,普通,1.7,0.31,47.9,29,98,26,11.4,13.1,1.7,2.2,93,2020-10-24 01:00,,0.4,20,75,1,121.507972,25.046503,13
古亭,臺北市,59,懸浮微粒,普通,1.5,0.25,48.6,35,76,25,8.4,9.5,1.1,2.3,70,2020-10-24 01:00,,0.3,18,67,1,121.529556,25.020608,14
松山,臺北市,68,細懸浮微粒,普通,1.2,0.28,46.5,28,78,24,6.3,6.8,0.3,1.4,49,2020-10-24 01:00,,0.4,22,71,1,121.578611,25.05,15
大同,臺北市,66,細懸浮微粒,普通,2.6,0.4,-,-,93,29,11.8,12,0.3,-,-,2020-10-24 01:00,,0.6,22,75,3,121.513311,25.0632,16
桃園,桃園市,62,懸浮微粒,普通,5.7,0.34,37.6,26,89,25,11.6,13.9,2.3,3,67,2020-10-24 01:00,,0.5,20,70,4,121.30872222,24.98677778,17
大園,桃園市,65,懸浮微粒,普通,2.9,0.25,59.2,50,84,26,10,10.2,0.3,9.2,61,2020-10-24 01:00,,0.2,20,75,3,121.201811,25.060344,18
觀音,桃園市,80,細懸浮微粒,普通,5.1,0.23,58,48,93,37,5.6,6.8,1.2,8.3,69,2020-10-24 01:00,,0.2,27,81,4,121.082761,25.035503,19
平鎮,桃園市,60,細懸浮微粒,普通,2.7,0.27,40.4,28,88,25,,,,4.2,76,2020-10-24 01:00,,0.4,19,66,,121.203986,24.952786,20
龍潭,桃園市,54,細懸浮微粒,普通,2.1,0.16,50,46,68,16,1.5,2.4,0.9,7,62,2020-10-24 01:00,,0.2,17,54,2,121.21635,24.863869,21
湖口,新竹縣,59,懸浮微粒,普通,2.1,0.23,50.6,42,82,19,6.6,8.3,1.7,6,46,2020-10-24 01:00,,0.2,16,66,2,121.038653,24.900142,22
竹東,新竹縣,44,,良好,,0.15,49.9,48,62,18,0.3,0.8,0.7,5.5,37,2020-10-24 01:00,,0.1,13,47,,121.088903,24.740644,23
