SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
恆春,屏東縣,42.0,,良好,0.9,0.24,45,45.0,22.0,8,1.7,2.3,0.7,12.0,36.0,2018-01-25 09:00,,0.3,8.0,24.0,1.0,,,
桃園,桃園市,34.0,,良好,4.6,0.47,29,37.0,18.0,8,17.0,23.0,6.1,3.5,75.0,2018-01-25 09:00,,0.3,7.0,17.0,4.0,,,
大園,桃園市,41.0,,良好,3.4,0.36,31,39.0,19.0,10,20.0,26.0,6.2,5.5,59.0,2018-01-25 09:00,,0.3,13.0,20.0,4.0,,,
平鎮,桃園市,37.0,,良好,2.3,0.54,34,40.0,20.0,6,16.0,20.0,4.4,4.2,59.0,2018-01-25 09:00,,0.4,11.0,19.0,2.0,,,
龍潭,桃園市,36.0,,良好,1.9,0.4,33,39.0,28.0,13,15.0,18.0,3.3,5.2,66.0,2018-01-25 09:00,,0.3,8.0,19.0,2.0,,,
湖口,新竹縣,39.0,,良好,3.8,0.36,38,42.0,21.0,7,11.0,13.0,2.6,6.4,56.0,2018-01-25 09:00,,0.3,7.0,18.0,2.0,,,
竹東,新竹縣,31.0,,良好,2.5,0.38,29,30.0,16.0,11,13.0,16.0,3.4,2.1,78.0,2018-01-25 09:00,,0.3,10.0,8.0,2.0,,,
新竹,新竹市,32.0,,良好,-0.1,0.45,32,35.0,14.0,ND,14.0,17.0,2.5,4.0,49.0,2018-01-25 09:00,,0.3,4.0,12.0,,,,
頭份,苗栗縣,27.0,,良好,3.6,0.51,29,29.0,22.0,8,16.0,20.0,3.4,2.4,63.0,2018-01-25 09:00,,0.4,6.0,16.0,2.0,,,
苗栗,苗栗縣,43.0,,良好,5.8,0.69,8.2,1.0,38.0,17,24.0,45.0,21.0,1.4,22.0,2018-01-25 09:00,,0.5,13.0,31.0,2.0,,,
三義,苗栗縣,47.0,,良好,1.1,0.25,32,17.0,12.0,10,3.3,4.4,1.1,3.9,18.0,2018-01-25 09:00,,0.3,15.0,21.0,2.0,,,
豐原,臺中市,59.0,細懸浮微粒,普通,2.7,0.79,8.4,6.0,50.0,10,21.0,45.0,25.0,1.5,1.7,2018-01-25 09:00,,0.6,19.0,45.0,3.0,,,
沙鹿,臺中市,40.0,,良好,2.7,0.32,27,21.0,33.0,13,15.0,19.0,3.1,6.4,5.4,2018-01-25 09:00,,0.3,12.0,28.0,2.0,,,
大里,臺中市,48.0,,良好,3.0,0.84,5.3,2.0,4.0,9,25.0,41.0,16.0,1.4,8.4,2018-01-25 09:00,,0.7,15.0,35.0,2.0,,,
忠明,臺中市,55.0,細懸浮微粒,普通,1.6,0.52,16,13.0,14.0,11,21.0,32.0,11.0,2.1,315.0,2018-01-25 09:00,,0.4,17.0,21.0,2.0,,,
西屯,臺中市,36.0,,良好,2.6,0.4,26,20.0,18.0,9,18.0,24.0,5.3,3.2,20.0,2018-01-25 09:00,,0.4,11.0,33.0,3.0,,,
彰化,彰化縣,29.0,,良好,2.6,0.56,19,15.0,18.0,9,22.0,27.0,5.4,6.5,350.0,2018-01-25 09:00,,0.4,9.0,26.0,3.0,,,
線西,彰化縣,37.0,,良好,3.5,0.35,34,29.0,28.0,9,11.0,14.0,2.1,1.9,353.0,2018-01-25 09:00,,0.4,11.0,28.0,5.0,,,
二林,彰化縣,46.0,,良好,7.4,0.62,26,22.0,30.0,15,15.0,19.0,3.7,4.3,27.0,2018-01-25 09:00,,0.5,14.0,24.0,5.0,,,
南投,南投縣,72.0,細懸浮微粒,普通,2.0,0.79,6.4,3.0,55.0,29,25.0,56.0,30.0,1.5,4.9,2018-01-25 09:00,,0.6,24.0,51.0,2.0,,,
斗六,雲林縣,63.0,細懸浮微粒,普通,,,,5.0,,,,,,,,2018-01-25 09:00,,0.4,20.0,46.0,,,,
崙背,雲林縣,52.0,細懸浮微粒,普通,5.4,0.47,30,23.0,41.0,12,13.0,17.0,3.9,5.4,360.0,2018-01-25 09:00,,0.5,16.0,40.0,4.0,,,
新港,嘉義縣,55.0,細懸浮微粒,普通,6.2,0.64,22,19.0,35.0,18,17.0,22.0,5.6,4.8,359.0,2018-01-25 09:00,,0.5,17.0,41.0,3.0,,,
朴子,嘉義縣,44.0,,良好,3.0,0.34,30,24.0,49.0,13,10.0,13.0,3.0,3.4,15.0,2018-01-25 09:00,,0.4,14.0,46.0,3.0,,,
臺西,雲林縣,40.0,,良好,2.3,0.18,43,41.0,31.0,13,5.1,6.0,0.9,9.3,19.0,2018-01-25 09:00,,0.2,12.0,28.0,2.0,,,
嘉義,嘉義市,66.0,細懸浮微粒,普通,3.7,0.6,11,8.0,52.0,20,23.0,37.0,14.0,3.8,8.8,2018-01-25 09:00,,0.5,22.0,57.0,5.0,,,
新營,臺南市,53.0,細懸浮微粒,普通,6.0,0.57,15,12.0,55.0,18,21.0,28.0,7.1,4.2,12.0,2018-01-25 09:00,,0.4,17.0,57.0,3.0,,,
善化,臺南市,55.0,細懸浮微粒,普通,3.8,0.46,12,10.0,38.0,20,18.0,27.0,8.9,4.9,2.6,2018-01-25 09:00,,0.4,17.0,43.0,3.0,,,
安南,臺南市,41.0,,良好,5.3,0.67,12,15.0,48.0,16,24.0,36.0,12.0,3.2,352.0,2018-01-25 09:00,,0.5,13.0,44.0,3.0,,,
臺南,臺南市,95.0,細懸浮微粒,普通,3.2,0.77,10,16.0,86.0,49,25.0,38.0,12.0,2.0,22.0,2018-01-25 09:00,,0.5,33.0,63.0,2.0,,,
美濃,高雄市,106.0,細懸浮微粒,對敏感族群不健康,1.6,0.54,12,11.0,87.0,40,,,,1.3,223.0,2018-01-25 09:00,,0.5,37.0,84.0,2.0,,,
橋頭,高雄市,103.0,細懸浮微粒,對敏感族群不健康,4.2,0.67,8.1,7.0,69.0,36,25.0,42.0,17.0,2.4,12.0,2018-01-25 09:00,,0.6,36.0,75.0,4.0,,,
仁武,高雄市,95.0,細懸浮微粒,普通,3.0,0.77,9.7,8.0,71.0,37,27.0,49.0,22.0,2.1,330.0,2018-01-25 09:00,,0.6,33.0,85.0,3.0,,,
鳳山,高雄市,97.0,細懸浮微粒,普通,6.5,1.02,4.8,3.0,91.0,29,34.0,62.0,28.0,1.6,303.0,2018-01-25 09:00,,0.7,34.0,92.0,5.0,,,
大寮,高雄市,117.0,細懸浮微粒,對敏感族群不健康,4.3,0.83,8.3,9.0,86.0,45,31.0,48.0,16.0,0.8,289.0,2018-01-25 09:00,,0.6,42.0,84.0,4.0,,,
林園,高雄市,97.0,細懸浮微粒,普通,5.6,0.73,11,8.0,105.0,36,29.0,39.0,10.0,1.8,29.0,2018-01-25 09:00,,0.7,34.0,110.0,6.0,,,
楠梓,高雄市,102.0,細懸浮微粒,對敏感族群不健康,3.3,0.65,10,8.0,74.0,32,23.0,37.0,14.0,2.3,356.0,2018-01-25 09:00,,0.6,36.0,90.0,3.0,,,
左營,高雄市,108.0,細懸浮微粒,對敏感族群不健康,,0.83,11,8.0,76.0,42,27.0,39.0,12.0,2.2,329.0,2018-01-25 09:00,,0.7,38.0,82.0,,,,
前金,高雄市,106.0,細懸浮微粒,對敏感族群不健康,3.8,0.88,10,8.0,86.0,31,26.0,40.0,14.0,2.8,351.0,2018-01-25 09:00,,0.7,37.0,84.0,3.0,,,
前鎮,高雄市,114.0,細懸浮微粒,對敏感族群不健康,4.0,1.17,8.1,10.0,97.0,45,31.0,48.0,17.0,1.5,9.2,2018-01-25 09:00,,0.7,40.0,98.0,4.0,,,
小港,高雄市,124.0,細懸浮微粒,對敏感族群不健康,8.0,1.2,5.9,8.0,93.0,47,41.0,80.0,40.0,1.3,315.0,2018-01-25 09:00,,0.8,44.0,94.0,8.0,,,
屏東,屏東縣,132.0,細懸浮微粒,對敏感族群不健康,2.9,0.8,13,15.0,92.0,50,22.0,30.0,7.7,0.9,324.0,2018-01-25 09:00,,0.6,47.0,97.0,3.0,,,
潮州,屏東縣,127.0,細懸浮微粒,對敏感族群不健康,2.3,0.59,12,9.0,103.0,52,15.0,19.0,4.4,1.1,335.0,2018-01-25 09:00,,0.5,46.0,100.0,3.0,,,
臺東,臺東縣,29.0,,良好,1.1,0.51,27,31.0,15.0,10,9.2,11.0,2.0,2.7,313.0,2018-01-25 09:00,,0.4,7.0,13.0,1.0,,,
花蓮,花蓮縣,23.0,,良好,2.4,0.48,22,23.0,29.0,11,19.0,23.0,4.3,1.9,21.0,2018-01-25 09:00,,0.4,7.0,25.0,2.0,,,
陽明,臺北市,,,設備維護,,,,,,,,,,,,2018-01-25 09:00,,,,5.0,,,,
宜蘭,宜蘭縣,42.0,,良好,,,,45.0,24.0,8,,,,1.4,278.0,2018-01-25 09:00,,0.3,10.0,25.0,1.0,,,
冬山,宜蘭縣,40.0,,良好,1.3,0.26,39,43.0,10.0,ND,5.5,5.9,0.5,1.7,273.0,2018-01-25 09:00,,0.3,3.0,11.0,1.0,,,
三重,新北市,36.0,,良好,5.7,1.56,-,,43.0,7,38.0,105.0,67.0,,,2018-01-25 09:00,,0.7,8.0,29.0,5.0,,,
中壢,桃園市,32.0,,良好,1.2,0.62,28,35.0,8.0,ND,22.0,34.0,11.0,2.6,14.0,2018-01-25 09:00,,0.4,3.0,15.0,2.0,,,
竹山,南投縣,106.0,細懸浮微粒,對敏感族群不健康,2.9,0.53,10,4.0,54.0,34,17.0,30.0,13.0,1.2,29.0,2018-01-25 09:00,,0.5,37.0,60.0,2.0,,,
永和,新北市,37.0,,良好,1.4,0.9,29,40.0,17.0,3,20.0,31.0,11.0,3.4,94.0,2018-01-25 09:00,,0.4,8.0,13.0,2.0,,,
復興,高雄市,106.0,細懸浮微粒,對敏感族群不健康,4.5,1.46,7.5,10.0,85.0,39,33.0,49.0,17.0,0.9,247.0,2018-01-25 09:00,,0.8,37.0,91.0,4.0,,,
埔里,南投縣,74.0,細懸浮微粒,普通,3.1,0.79,8.9,10.0,42.0,22,19.0,39.0,20.0,0.8,256.0,2018-01-25 09:00,,0.4,25.0,39.0,2.0,,,
馬祖,連江縣,53.0,細懸浮微粒,普通,1.3,0.2,36,35.0,22.0,15,3.1,3.5,0.4,3.1,350.0,2018-01-25 09:00,,0.2,16.0,28.0,2.0,,,
金門,金門縣,35.0,,良好,3.4,0.31,34,35.0,22.0,6,8.9,9.7,0.8,3.7,51.0,2018-01-25 09:00,,0.3,11.0,23.0,3.0,,,
馬公,澎湖縣,40.0,,良好,0.7,0.26,43,43.0,23.0,10,2.3,3.3,1.0,7.9,19.0,2018-01-25 09:00,,0.3,12.0,27.0,1.0,,,
關山,臺東縣,31.0,,良好,2.8,,26,23.0,23.0,10,5.9,7.5,1.6,2.6,30.0,2018-01-25 09:00,,,10.0,21.0,3.0,,,
麥寮,雲林縣,37.0,,良好,2.3,0.25,37,33.0,44.0,8,5.5,7.9,2.4,6.1,7.8,2018-01-25 09:00,,0.3,11.0,40.0,2.0,,,
富貴角,新北市,49.0,,良好,0.1,0.18,47,48.0,46.0,19,1.2,1.2,-0.1,9.0,79.0,2018-01-25 09:00,,0.2,15.0,43.0,0.0,,,
汐止,新北市,37.0,,良好,2.5,0.3,32,31.0,17.0,11,16.0,20.0,4.2,4.0,26.0,2018-01-25 12:00,,0.4,11.0,18.0,2.0,,,
萬里,新北市,44.0,,良好,1.9,,46,48.0,35.0,11,3.5,5.0,1.5,3.6,76.0,2018-01-25 12:00,,0.2,11.0,35.0,2.0,,,
新店,新北市,36.0,,良好,1.1,0.35,35,39.0,,,9.9,13.0,2.7,3.3,81.0,2018-01-25 12:00,,0.3,6.0,5.0,1.0,,,
土城,新北市,34.0,,良好,0.6,0.3,41,37.0,25.0,13,7.8,9.9,2.1,2.8,352.0,2018-01-25 12:00,,0.4,7.0,19.0,1.0,,,
板橋,新北市,31.0,,良好,2.1,0.39,35,34.0,16.0,9,14.0,19.0,5.3,3.9,60.0,2018-01-25 12:00,,0.4,9.0,16.0,2.0,,,
